theta,A2,a,b,z,phi,status
30.0,-20.0,13.6,6.0,1.0,10.0,NotYet
30.0,-20.0,13.6,6.0,1.0,20.0,NotYet
30.0,-20.0,13.6,6.0,1.0,30.0,NotYet
30.0,-20.0,13.6,6.0,1.0,40.0,NotYet
30.0,-20.0,13.6,6.0,1.0,50.0,NotYet
30.0,-20.0,13.6,6.0,1.0,60.0,NotYet
30.0,-20.0,13.6,6.0,1.0,70.0,NotYet
30.0,-20.0,13.6,6.0,1.0,80.0,NotYet
30.0,-20.0,13.6,6.0,1.0,90.0,NotYet
30.0,-20.0,13.6,6.0,1.0,100.0,NotYet
30.0,-20.0,13.6,6.0,1.0,110.0,NotYet
30.0,-20.0,14.4,5.9,1.2,0.0,NotYet
30.0,-20.0,14.4,5.9,1.2,10.0,NotYet
30.0,-20.0,14.4,5.9,1.2,20.0,NotYet
30.0,-20.0,14.4,5.9,1.2,30.0,NotYet
30.0,-20.0,14.4,5.9,1.2,40.0,NotYet
30.0,-20.0,14.4,5.9,1.2,50.0,NotYet
30.0,-20.0,14.4,5.9,1.2,60.0,NotYet
30.0,-20.0,14.4,5.9,1.2,70.0,NotYet
30.0,-20.0,14.4,5.9,1.2,80.0,NotYet
30.0,-20.0,14.4,5.9,1.2,90.0,NotYet
30.0,-20.0,14.4,5.9,1.2,100.0,NotYet
30.0,-20.0,14.4,5.9,1.2,110.0,NotYet
30.0,-20.0,14.7,6.0,1.4,0.0,NotYet
30.0,-20.0,14.7,6.0,1.4,10.0,NotYet
30.0,-20.0,14.7,6.0,1.4,20.0,NotYet
30.0,-20.0,14.7,6.0,1.4,30.0,NotYet
30.0,-20.0,14.7,6.0,1.4,40.0,NotYet
30.0,-20.0,14.7,6.0,1.4,50.0,NotYet
30.0,-20.0,14.7,6.0,1.4,60.0,NotYet
30.0,-20.0,14.7,6.0,1.4,70.0,NotYet
30.0,-20.0,14.7,6.0,1.4,80.0,NotYet
30.0,-20.0,14.7,6.0,1.4,90.0,NotYet
30.0,-20.0,14.7,6.0,1.4,100.0,NotYet
30.0,-20.0,14.7,6.0,1.4,110.0,NotYet
30.0,-20.0,14.6,5.9,1.6,0.0,NotYet
30.0,-20.0,14.6,5.9,1.6,10.0,NotYet
30.0,-20.0,14.6,5.9,1.6,20.0,NotYet
30.0,-20.0,14.6,5.9,1.6,30.0,NotYet
30.0,-20.0,14.6,5.9,1.6,40.0,NotYet
30.0,-20.0,14.6,5.9,1.6,50.0,NotYet
30.0,-20.0,14.6,5.9,1.6,60.0,NotYet
30.0,-20.0,14.6,5.9,1.6,70.0,NotYet
30.0,-20.0,14.6,5.9,1.6,80.0,NotYet
30.0,-20.0,14.6,5.9,1.6,90.0,NotYet
30.0,-20.0,14.6,5.9,1.6,100.0,NotYet
30.0,-20.0,14.6,5.9,1.6,110.0,NotYet
30.0,-20.0,14.6,5.9,1.8,0.0,NotYet
30.0,-20.0,14.6,5.9,1.8,10.0,NotYet
30.0,-20.0,14.6,5.9,1.8,20.0,NotYet
30.0,-20.0,14.6,5.9,1.8,30.0,NotYet
30.0,-20.0,14.6,5.9,1.8,40.0,NotYet
30.0,-20.0,14.6,5.9,1.8,50.0,NotYet
30.0,-20.0,14.6,5.9,1.8,60.0,NotYet
30.0,-20.0,14.6,5.9,1.8,70.0,NotYet
30.0,-20.0,14.6,5.9,1.8,80.0,NotYet
30.0,-20.0,14.6,5.9,1.8,90.0,NotYet
30.0,-20.0,14.6,5.9,1.8,100.0,NotYet
30.0,-20.0,14.6,5.9,1.8,110.0,NotYet
30.0,-20.0,14.5,6.0,2.0,0.0,NotYet
30.0,-20.0,14.5,6.0,2.0,10.0,NotYet
30.0,-20.0,14.5,6.0,2.0,20.0,NotYet
30.0,-20.0,14.5,6.0,2.0,30.0,NotYet
30.0,-20.0,14.5,6.0,2.0,40.0,NotYet
30.0,-20.0,14.5,6.0,2.0,50.0,NotYet
30.0,-20.0,14.5,6.0,2.0,60.0,NotYet
30.0,-20.0,14.5,6.0,2.0,70.0,NotYet
30.0,-20.0,14.5,6.0,2.0,80.0,NotYet
30.0,-20.0,14.5,6.0,2.0,90.0,NotYet
30.0,-20.0,14.5,6.0,2.0,100.0,NotYet
30.0,-20.0,14.5,6.0,2.0,110.0,NotYet
30.0,-20.0,14.9,6.6,2.2,0.0,NotYet
30.0,-20.0,14.9,6.6,2.2,10.0,NotYet
30.0,-20.0,14.9,6.6,2.2,20.0,NotYet
30.0,-20.0,14.9,6.6,2.2,30.0,NotYet
30.0,-20.0,14.9,6.6,2.2,40.0,NotYet
30.0,-20.0,14.9,6.6,2.2,50.0,NotYet
30.0,-20.0,14.9,6.6,2.2,60.0,NotYet
30.0,-20.0,14.9,6.6,2.2,70.0,NotYet
30.0,-20.0,14.9,6.6,2.2,80.0,NotYet
30.0,-20.0,14.9,6.6,2.2,90.0,NotYet
30.0,-20.0,14.9,6.6,2.2,100.0,NotYet
30.0,-20.0,14.9,6.6,2.2,110.0,NotYet
30.0,-20.0,12.9,5.7,2.4,0.0,NotYet
30.0,-20.0,12.9,5.7,2.4,10.0,NotYet
30.0,-20.0,12.9,5.7,2.4,20.0,NotYet
30.0,-20.0,12.9,5.7,2.4,30.0,NotYet
30.0,-20.0,12.9,5.7,2.4,40.0,NotYet
30.0,-20.0,12.9,5.7,2.4,50.0,NotYet
30.0,-20.0,12.9,5.7,2.4,60.0,NotYet
30.0,-20.0,12.9,5.7,2.4,70.0,NotYet
30.0,-20.0,12.9,5.7,2.4,80.0,NotYet
30.0,-20.0,12.9,5.7,2.4,90.0,NotYet
30.0,-20.0,12.9,5.7,2.4,100.0,NotYet
30.0,-20.0,12.9,5.7,2.4,110.0,NotYet
30.0,-20.0,12.9,5.6,2.6,0.0,NotYet
30.0,-20.0,12.9,5.6,2.6,10.0,NotYet
30.0,-20.0,12.9,5.6,2.6,20.0,NotYet
30.0,-20.0,12.9,5.6,2.6,30.0,NotYet
30.0,-20.0,12.9,5.6,2.6,40.0,NotYet
30.0,-20.0,12.9,5.6,2.6,50.0,NotYet
30.0,-20.0,12.9,5.6,2.6,60.0,NotYet
30.0,-20.0,12.9,5.6,2.6,70.0,NotYet
30.0,-20.0,12.9,5.6,2.6,80.0,NotYet
30.0,-20.0,12.9,5.6,2.6,90.0,NotYet
30.0,-20.0,12.9,5.6,2.6,100.0,NotYet
30.0,-20.0,12.9,5.6,2.6,110.0,NotYet
30.0,-20.0,12.9,5.3,2.8,0.0,NotYet
30.0,-20.0,12.9,5.3,2.8,10.0,NotYet
30.0,-20.0,12.9,5.3,2.8,20.0,NotYet
