a,b,theta,z,A2,phi,status
6.1,8.4,60.0,-3.8,2.0,70.0,NotYet
6.1,8.4,60.0,-3.8,2.0,80.0,NotYet
6.1,8.4,60.0,-3.8,2.0,90.0,NotYet
6.1,8.4,60.0,-3.8,2.0,100.0,NotYet
6.1,8.4,60.0,-3.8,2.0,110.0,NotYet
6.1,8.4,60.0,-3.8,2.0,120.0,NotYet
6.1,8.4,60.0,-3.8,4.0,0.0,NotYet
6.1,8.4,60.0,-3.8,4.0,10.0,NotYet
6.1,8.4,60.0,-3.8,4.0,20.0,NotYet
6.1,8.4,60.0,-3.8,4.0,30.0,NotYet
6.1,8.4,60.0,-3.8,4.0,40.0,NotYet
6.1,8.4,60.0,-3.8,4.0,50.0,NotYet
6.1,8.4,60.0,-3.8,4.0,60.0,NotYet
6.1,8.4,60.0,-3.8,4.0,70.0,NotYet
6.1,8.4,60.0,-3.8,4.0,80.0,NotYet
6.1,8.4,60.0,-3.8,4.0,90.0,NotYet
6.1,8.4,60.0,-3.8,4.0,100.0,NotYet
6.1,8.4,60.0,-3.8,4.0,110.0,NotYet
6.1,8.4,60.0,-3.8,4.0,120.0,NotYet
6.1,8.4,60.0,-3.8,6.0,0.0,NotYet
6.1,8.4,60.0,-3.8,6.0,10.0,NotYet
6.1,8.4,60.0,-3.8,6.0,20.0,NotYet
6.1,8.4,60.0,-3.8,6.0,30.0,NotYet
6.1,8.4,60.0,-3.8,6.0,40.0,NotYet
6.1,8.4,60.0,-3.8,6.0,50.0,NotYet
6.1,8.4,60.0,-3.8,6.0,60.0,NotYet
6.1,8.4,60.0,-3.8,6.0,70.0,NotYet
6.1,8.4,60.0,-3.8,6.0,80.0,NotYet
6.1,8.4,60.0,-3.8,6.0,90.0,NotYet
6.1,8.4,60.0,-3.8,6.0,100.0,NotYet
6.1,8.4,60.0,-3.8,6.0,110.0,NotYet
6.1,8.4,60.0,-3.8,6.0,120.0,NotYet
6.1,8.4,60.0,-3.8,8.0,0.0,NotYet
6.1,8.4,60.0,-3.8,8.0,10.0,NotYet
6.1,8.4,60.0,-3.8,8.0,20.0,NotYet
6.1,8.4,60.0,-3.8,8.0,30.0,NotYet
6.1,8.4,60.0,-3.8,8.0,40.0,NotYet
6.1,8.4,60.0,-3.8,8.0,50.0,NotYet
6.1,8.4,60.0,-3.8,8.0,60.0,NotYet
6.1,8.4,60.0,-3.8,8.0,70.0,NotYet
6.1,8.4,60.0,-3.8,8.0,80.0,NotYet
6.1,8.4,60.0,-3.8,8.0,90.0,NotYet
